date	2nd at Townsend to Harry Bridges Plaza	Embarcadero at Sansome to Steuart at Market	2nd at South Park to Market at Sansome	Steuart at Market to Embarcadero at Sansome	Market at Sansomme to 2nd at South Park	San Francisco Caltrain to Harry Bridges Plaza	San Francisco Caltrain to Townsend at 7th	Townsend at 7th to San Francisco Caltrain	Harry Bridges Plaza to 2nd at Townsend	Harry Bridges Plaza to Embarcadero at Sansome
09-13	110	105	105	130	129	89	133	158	98	300
10-13	128	174	130	161	153	105	201	211	133	279
11-13	120	140	136	130	152	149	180	225	119	171
12-13	90	96	123	79	136	133	196	207	93	164
01-14	176	140	169	122	146	169	200	273	151	215
02-14	123	148	134	86	146	132	199	242	108	169
